"date","day","month","year","n_cases","n_deaths","country","geo_id","country_code","n_population_2018","n_cases_sum","dss","rsq","K","Y0","r","max_day"
"2020-03-13",13,3,2020,2,0,"Aruba","AW","ABW",105845,2,1,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-03-20",20,3,2020,2,0,"Aruba","AW","ABW",105845,4,8,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-03-24",24,3,2020,8,0,"Aruba","AW","ABW",105845,12,12,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-03-25",25,3,2020,5,0,"Aruba","AW","ABW",105845,17,13,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-03-26",26,3,2020,2,0,"Aruba","AW","ABW",105845,19,14,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-03-27",27,3,2020,9,0,"Aruba","AW","ABW",105845,28,15,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-03-28",28,3,2020,0,0,"Aruba","AW","ABW",105845,28,16,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-03-29",29,3,2020,0,0,"Aruba","AW","ABW",105845,28,17,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-03-30",30,3,2020,22,0,"Aruba","AW","ABW",105845,50,18,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-04-01",1,4,2020,5,0,"Aruba","AW","ABW",105845,55,20,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-04-02",2,4,2020,0,0,"Aruba","AW","ABW",105845,55,21,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-04-03",3,4,2020,5,0,"Aruba","AW","ABW",105845,60,22,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-04-04",4,4,2020,2,0,"Aruba","AW","ABW",105845,62,23,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-04-05",5,4,2020,2,0,"Aruba","AW","ABW",105845,64,24,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-04-06",6,4,2020,0,0,"Aruba","AW","ABW",105845,64,25,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-04-07",7,4,2020,7,0,"Aruba","AW","ABW",105845,71,26,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
"2020-04-08",8,4,2020,3,0,"Aruba","AW","ABW",105845,74,27,0.982069540789424,97.6844359663418,1.73137881541877,0.198758058520295,35
